processo,proponente,nome_projeto,sli,segmento_cultural,cnpj,municipio,uf,regiao,valor_aprovado,valor_captado,saldo_disponivel,percentual_captado,data_publicacao,data_inicio_captacao,data_fim_captacao,ano_aprovacao,status,score_prioridade,lei,area,is_real
261611,GCS COMUNICACAO LTDA,Estradas que transformam,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,11962694000164,Campinas,SP,Sudeste,268981.2844,0.0,268981.2844,0.0,2024-07-01,2024-07-01,2026-07-01,2026,Captando,1.0,Rouanet,Cultura,True
262411,OBRAS SOCIAIS DO CENTRO ESPIRITA IRMAO AUREO,Arraiá do Bem OSCEIA - 2026,,Desfiles festivos de caráter musical e cênico,25006149000109,Goiânia,GO,Centro-Oeste,185179.5,0.0,185179.5,0.0,2026-05-11,2026-05-11,2026-07-13,2026,Captando,1.0,Rouanet,Cultura,True
261014,COMPANHIA ENCANTAR DE ARTE E CULTURA,EncantARRAIAL – São João 2026,,"Teatro Musical (c/ dramaturgia, danças e canções)",10284145000115,São Luís,MA,Nordeste,353390.4004,0.0,353390.4004,0.0,2026-04-01,2026-04-01,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
262758,AR2 ENTRETENIMENTO CULTURAL,Chapeuzinho Amarelo,,Apresentação ou Performance de Teatro,52058938000166,Rio de Janeiro,RJ,Sudeste,297275.0,0.0,297275.0,0.0,2026-05-12,2026-05-12,2026-08-12,2026,Captando,0.925,Rouanet,Cultura,True
262786,M.M.S. DA SILVA ALGORITIMOS E CONSULTORIA LTDA,Chains of the Red Throne,,Prod. Av Games,27227134000104,Rio de Janeiro,RJ,Sudeste,382084.9671,0.0,382084.9671,0.0,2025-12-31,2025-12-31,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
263387,COLEL SOFIA DAYAN SHALEV,Festival das luzes: a celebração do Chanucá no Brasil,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,31247859000123,São Paulo,SP,Sudeste,196183.3496,0.0,196183.3496,0.0,2026-06-01,2026-06-01,2026-09-01,2026,Captando,0.925,Rouanet,Cultura,True
263451,ANNELIESE ARNDT LTDA,2º Festival de Quadrilha Junina São João das Estrelas,,Desfiles festivos de caráter musical e cênico,06925209000142,Belo Horizonte,MG,Sudeste,324398.25,0.0,324398.25,0.0,2026-05-18,2026-05-18,2026-08-03,2026,Captando,0.925,Rouanet,Cultura,True
263451,ANNELIESE ARNDT LTDA,2º Festival de Quadrilha Junina São João das Estrelas,,Desfiles festivos de caráter musical e cênico,06925209000142,Belo Horizonte,MG,Sudeste,324398.25,0.0,324398.25,0.0,2026-05-18,2026-05-18,2026-08-03,2026,Captando,0.925,Rouanet,Cultura,True
250392,CATALIZE  PRODUCAO DE IMPACTO E COMUNICACAO SOCIAL LTDA,Liberdade para dentro da cabeça ,,Prod. AV curta/média mtragem/Tv Edu Cult,24718210000188,São Paulo,SP,Sudeste,267872.4,217360.0,50512.40000000002,81.1,2025-03-01,2025-03-01,2026-09-01,2025,Captando,0.925,Rouanet,Cultura,True
262832,"INSER - INSTITUTO DE DESENVOLVIMENTO HUMANO, PESQUISA, TECNOLOGIA E INOVACAO",60º Encontro Regional de Congadeiros de Araxá-MG,,Apresentação ou Performance de Dança,10655141000104,Araxá,MG,Sudeste,212850.0,0.0,212850.0,0.0,2026-06-01,2026-06-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
261819,CARMEN CENIRA DE PAULA VIEIRA DE MATOS,Que País É Esse? - O Musical,,"Teatro Musical (c/ dramaturgia, danças e canções)",***916358**,Belo Horizonte,MG,Sudeste,499999.5,0.0,499999.5,0.0,2025-12-01,2025-12-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
250324,ANA CLARA DA SILVA AMARAL DOS SANTOS,TURMINHA DO NOSSO AMIGUINHO - ADOTE UM LEITOR ,,Outras publicações ou Periódicos,***482573**,Lagoa do Piauí,PI,Nordeste,199999.8008,0.0,199999.8008,0.0,2025-04-01,2025-04-01,2026-07-31,2025,Captando,0.925,Rouanet,Cultura,True
250312,DIGITAL VIDEO BRASIL LTDA,Bioinvasores - a ameaça desconhecida,,Produção de websérie,08813390000120,Atibaia,SP,Sudeste,379920.1992,0.0,379920.1992,0.0,2025-02-12,2025-02-12,2026-08-31,2025,Captando,0.925,Rouanet,Cultura,True
250378,DIOGO DE VASCONCELOS SIMAO,APÓS UM SORRISO,,Prod. AV curta/média mtragem/Tv Edu Cult,***023107**,Vila Pavão,ES,Sudeste,65736.0,0.0,65736.0,0.0,2024-12-01,2024-12-01,2026-09-05,2025,Captando,0.925,Rouanet,Cultura,True
262315,HOTEL TERRA DO SAL LTDA,CAMAROTE PINGO DA MEI DIA ESTAÇÃO ANO 3,,Apresentação/Gravação Música Popular Cantada,12045204000128,Mossoró,RN,Nordeste,489001.2617,0.0,489001.2617,0.0,2026-05-11,2026-05-11,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
262845,BANDA PAKERE UNIPESSOAL LTDA,XXXVII EXFANA – Exposição e Feira Agropecuária de Natividade-RJ,,Apresentação/Gravação de Música Regional,49167962000129,Natividade,RJ,Sudeste,492250.0,0.0,492250.0,0.0,2026-05-08,2026-05-08,2026-08-20,2026,Captando,0.925,Rouanet,Cultura,True
261777,FREITAS CONSULTORIA LTDA,ORQUESTRA COMPASSOS EM RITMO DE SÃO JOÃO,,Apresentação/Gravação de Música Regional,23091658000151,Salvador,BA,Nordeste,198489.0,0.0,198489.0,0.0,2026-05-01,2026-05-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
250071,MARIA KAROLINY ALVES SOARES,Escola de Capoeira Lagoa de Ouro,,ConstruçãoManuImplant d EquipamCult em geral,***224094**,Lagoa Nova,RN,Nordeste,236560.4702,23705.5,212854.9702,10.0,2025-01-01,2025-01-01,2026-08-30,2025,Captando,0.925,Rouanet,Cultura,True
250067,MARIA KAROLINY ALVES SOARES,Ateliê O Buraco,,ConstruçãoManuImplant d EquipamCult em geral,***224094**,Lagoa Nova,RN,Nordeste,401411.2148,31550.0,369861.2148,7.9,2025-06-06,2025-06-06,2026-07-21,2025,Captando,0.925,Rouanet,Cultura,True
2514959,CINEMARKETING CONTEUDO E ENTRETENIMENTO LTDA,A Gruta de Itaúna: a Fé no Coração de Minas,,Prod. AV curta/média mtragem/Tv Edu Cult,05350563000123,Itaúna,MG,Sudeste,103801.5,0.0,103801.5,0.0,2026-03-01,2026-03-01,2026-07-31,2025,Captando,0.925,Rouanet,Cultura,True
2515997,48.398.165 VITORIA DE ALMEIDA,Oficina de Cultura Maker – Criando Jogos e Interatividade Sustentável,,Ações de capacitação e treinamento de pessoa,48398165000190,Miraguaí,RS,Sul,103207.5,0.0,103207.5,0.0,2026-02-02,2026-02-02,2026-07-31,2025,Captando,0.925,Rouanet,Cultura,True
261726,28.316.796 ROSA MARIA SANTOS MARTINS,Circulação Maria não é Penha (Mas Lalau é Réu),,Apresentação ou Performance de Teatro,28316796000105,Manaus,AM,Norte,66825.0,0.0,66825.0,0.0,2026-03-20,2026-03-20,2026-07-20,2026,Captando,0.925,Rouanet,Cultura,True
262532,CAROLINE DOS SANTOS RODRIGUES,"Raizelas - poesia, matriz e canção",,"Teatro Musical (c/ dramaturgia, danças e canções)",***908551**,Salvador,BA,Nordeste,92745.0,0.0,92745.0,0.0,2026-06-01,2026-06-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
263916,JACKSON MARCEL SEKULA,FESTA JUNINA DA PARÓQUIA SÃO JOÃO BATISTA DE CASCAVEL PR.,,Apresentação/Gravação Música Popular Cantada,***284589**,Cascavel,PR,Sul,133947.0,0.0,133947.0,0.0,2026-05-20,2026-05-20,2026-08-30,2026,Captando,0.925,Rouanet,Cultura,True
263916,JACKSON MARCEL SEKULA,FESTA JUNINA DA PARÓQUIA SÃO JOÃO BATISTA DE CASCAVEL PR.,,Apresentação/Gravação Música Popular Cantada,***284589**,Cascavel,PR,Sul,133947.0,0.0,133947.0,0.0,2026-05-20,2026-05-20,2026-08-30,2026,Captando,0.925,Rouanet,Cultura,True
261214,ASSOCIACAO DE PROTECAO A MATER E A INF DE PSO DO NORTE,Paraíso do Rock 2026 - Festival Independente de Rock do Sul do Brasil,,Apresentação/Gravação Música Popular Cantada,80899248000175,Paraíso do Norte,PR,Sul,170165.5996,0.0,170165.5996,0.0,2026-04-01,2026-04-01,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
261207,CENTRAL NORDESTE EMPREENDIMENTOS LTDA,8º Forró do Chico,,Apresentação/Gravação de Música Regional,12853003000157,Salvador,BA,Nordeste,499989.6016,0.0,499989.6016,0.0,2026-05-08,2026-05-08,2026-07-28,2026,Captando,0.925,Rouanet,Cultura,True
261190,TATIANE APARECIDA DE FREITAS,Festival Para Ver a Banda Passar,,Apresentação/Gravação de Música Instrumental,***686836**,Belo Horizonte,MG,Sudeste,294332.5,0.0,294332.5,0.0,2026-02-01,2026-02-01,2026-08-01,2026,Captando,0.925,Rouanet,Cultura,True
261920,INSTITUTO SENZALA ARTEVIVA - ISA,5 encontro IE VIVA MEU MESTRE ENCONTRO INTERNACIONAL DE CAPOEIRA ,,Salvaguarda do patrimônio cultural imaterial,14946168000107,Rio de Janeiro,RJ,Sudeste,84422.25,0.0,84422.25,0.0,2026-08-07,2026-08-07,2026-08-08,2026,Captando,0.925,Rouanet,Cultura,True
264100,59.671.806 FABIO HENRIQUE FELIPE MAIA BARBALHO,FEAMA - Festival das Expressões Amazônicas,,Empreendedorismo Cultural,59671806000154,Belém,PA,Norte,199764.0,0.0,199764.0,0.0,2026-07-01,2026-07-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
264100,59.671.806 FABIO HENRIQUE FELIPE MAIA BARBALHO,FEAMA - Festival das Expressões Amazônicas,,Empreendedorismo Cultural,59671806000154,Belém,PA,Norte,199764.0,0.0,199764.0,0.0,2026-07-01,2026-07-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
261146,TRILHAS ASSESSORIA EM PROJETOS CULTURAIS LTDA,ARRAIA NO ENEM VOU APROVAR,,Apresentação ou Performance de Dança,45305016000140,Imperatriz,MA,Nordeste,376431.0,0.0,376431.0,0.0,2026-04-06,2026-04-06,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
261140,"ESPACO AMPLIAR - ASSESSORIA, PROJETOS E EVENTOS LTDA","SUCATA SINFÔNICA – Música, Sustentabilidade e Formação de Público",,Apresentação/Gravação de Música Instrumental,05818903000106,Sabará,MG,Sudeste,220968.0,0.0,220968.0,0.0,2026-05-01,2026-05-01,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
261139,"ESPACO AMPLIAR - ASSESSORIA, PROJETOS E EVENTOS LTDA", Festival Canta Formiga 2026,,Apresentação/Gravação de Música Instrumental,05818903000106,Sabará,MG,Sudeste,270641.25,70000.0,200641.25,25.9,2026-04-24,2026-04-24,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
261094,42.090.314 JOSILENE BRAGA SILVA,Quadrilha Junina Arrastapão - Temporada 2026,,Apresentação ou Performance de Dança,42090314000172,Aquiraz,CE,Nordeste,87169.5,0.0,87169.5,0.0,2026-04-06,2026-04-06,2026-08-31,2026,Captando,0.925,Rouanet,Cultura,True
261082,CASSIANO HAACK VILAR,Mostra de danças do Domados do PAMPA- CAVALO ARABE,,Apresentação ou Performance de Dança,***602400**,Porto Alegre,RS,Sul,194746.75,0.0,194746.75,0.0,2026-08-31,2026-08-31,2026-09-10,2026,Captando,0.925,Rouanet,Cultura,True
261599,DIEISON TEIFKE SPOLAVORI,Festa do Colono e do Motorista de Sertão Santana: Raizes e Tradição,,Apresentação/Gravação de Música Regional,***627100**,Sertão Santana,RS,Sul,84645.0,0.0,84645.0,0.0,2026-07-25,2026-07-25,2026-07-26,2026,Captando,0.925,Rouanet,Cultura,True
262383,HAILTON RIBEIRO SANTOS,Programa Educativo Multimídia para a Primeira Infância,,Apresentação/Gravação Música Popular Cantada,***280961**,Brasília,DF,Centro-Oeste,149982.7725,0.0,149982.7725,0.0,2026-07-01,2026-07-01,2026-09-01,2026,Captando,0.925,Rouanet,Cultura,True
262382,46.214.817 TIAGO DOS SANTOS ALCHUFFI,Thear | Origem,,Exposição Cultural / Artística,46214817000163,Goiânia,GO,Centro-Oeste,420886.125,0.0,420886.125,0.0,2026-04-15,2026-04-15,2026-07-31,2026,Captando,0.925,Rouanet,Cultura,True
261028,ESTEFANI MACLAINE PACIELLO,livro Estefani Maclaine,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,***485797**,Mangaratiba,RJ,Sudeste,194267.6992,0.0,194267.6992,0.0,2026-05-01,2026-05-01,2026-09-01,2026,Captando,0.925,Rouanet,Cultura,True
250151,"ASSOCIACAO NACIONAL REGGAE, ARTE E SOCIAL",Projeto Ponto de Cultura Mirante Cultural,,Empreend Ações Educ-Cult/Capacitação/Treinamento,23610126000183,São Paulo,SP,Sudeste,994279.0,0.0,994279.0,0.0,2025-06-01,2025-06-01,2026-06-30,2025,Captando,0.9,Rouanet,Cultura,True
261435,ASSOCIACAO COMERCIAL INDUSTRIAL E AGROPECUARIA DE JACUTINGA,1º FESTIVAL GASTRONÔMICO SABORES DA MALHA,,Empreendedorismo Cultural,41778630000179,Jacutinga,MG,Sudeste,512325.0,0.0,512325.0,0.0,2026-06-06,2026-06-06,2026-06-22,2026,Captando,0.9,Rouanet,Cultura,True
264026,L M EDITORA E PRODUCOES LTDA,DOCUMENTÁRIO ENTRE O ASFALTO E A ALDEIA,,Prod. AV curta/média mtragem/Tv Edu Cult,44285548000109,São Gonçalo,RJ,Sudeste,570768.0,0.0,570768.0,0.0,2026-01-05,2026-01-05,2026-06-30,2026,Captando,0.9,Rouanet,Cultura,True
261213,AM9 PRODUCOES GESTAO DE EVENTOS LTDA,16ª Feprocol - Tradição e Futuro: Nova Pádua Semeando a Nossa Cultura,,Apresentação/Gravação de Música Regional,07507280000178,Caxias do Sul,RS,Sul,597484.8008,0.0,597484.8008,0.0,2025-10-01,2025-10-01,2026-06-30,2026,Captando,0.9,Rouanet,Cultura,True
264026,L M EDITORA E PRODUCOES LTDA,DOCUMENTÁRIO ENTRE O ASFALTO E A ALDEIA,,Prod. AV curta/média mtragem/Tv Edu Cult,44285548000109,São Gonçalo,RJ,Sudeste,570768.0,0.0,570768.0,0.0,2026-01-05,2026-01-05,2026-06-30,2026,Captando,0.9,Rouanet,Cultura,True
250193,MARLON FRAGA NUNES,Curta Metragem Maria ,,Prod. AV curta/média mtragem/Tv Edu Cult,***491530**,Novo Hamburgo,RS,Sul,187080.374,0.0,187080.374,0.0,2025-11-04,2025-11-04,2026-11-02,2025,Captando,0.85,Rouanet,Cultura,True
261017,"PERENE PROJETOS,COMUNICACAO E EVENTOS LTDA",Kerb im Tannenwald - 21 anos de história,,Apresentação/Gravação de Música Regional,17422258000189,Nova Petrópolis,RS,Sul,79813.7998,0.0,79813.7998,0.0,2026-06-01,2026-06-01,2026-10-30,2026,Captando,0.85,Rouanet,Cultura,True
261041,LEONARDO LINO CARVALHO,FESTIVAL DE FORRÓ DE SANTALUZ ,,Apresentação/Gravação de Música Regional,***267225**,Jacobina,BA,Nordeste,498000.0,0.0,498000.0,0.0,2026-04-01,2026-04-01,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
263237,EME ENTRETENIMENTOS LTDA,MPB84 Edição 2026,,Empreend Ações Educ-Cult/Capacitação/Treinamento,08772050000107,Natal,RN,Nordeste,254025.1992,0.0,254025.1992,0.0,2026-09-01,2026-09-01,2026-11-18,2026,Captando,0.85,Rouanet,Cultura,True
263231,66.456.879 DANIEL PAULINO GARCIA FELICIANO,Sertão Sintético – Performance ao Vivo 2026,,Apresentação/Gravação de Música Regional,66456879000199,Acari,RN,Nordeste,191565.5786,0.0,191565.5786,0.0,2026-09-15,2026-09-15,2026-09-17,2026,Captando,0.85,Rouanet,Cultura,True
263258,ANA FLAVIA XAVIER,Semeara: Literatura que forma escolhas,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,***607548**,Santa Bárbara D'Oeste,SP,Sudeste,50267.25,0.0,50267.25,0.0,2026-05-23,2026-05-23,2026-10-23,2026,Captando,0.85,Rouanet,Cultura,True
261873,LUIZ CARLOS BEZERRA BITU,FAMILIA SNP GRAVAÇÃO DVD AO VIVO QUADRA CACIQUE DE RAMOS,,Apresentação/Gravação de Música Regional,***129728**,Carapicuíba,SP,Sudeste,498168.0,0.0,498168.0,0.0,2026-04-27,2026-04-27,2026-10-31,2026,Captando,0.85,Rouanet,Cultura,True
263251,LUIZ CLAUDIO MARTINS NEGRAO,Amazônia Comicon 2026-  Festival de Histórias em Quadrinhos e Cultura Pop da Amazônia .,,Exposição Cultural / Artística,***820562**,Belém,PA,Norte,496680.5234,0.0,496680.5234,0.0,2026-11-25,2026-11-25,2026-11-29,2026,Captando,0.85,Rouanet,Cultura,True
261002,ASSOCIACAO CULTURAL E ESPIRITUAL ILE DO OXALA,BUMBA MEU BOI ENCANTO SERRANENSE-DO COSTA DE MÃO E ZABUMBA OS SOTAQUES DO LITORAL MARANHENSE,,Apresentação ou Performance de Dança,32288397000155,Serrano do Maranhão,MA,Nordeste,190080.0,0.0,190080.0,0.0,2026-03-15,2026-03-15,2026-11-28,2026,Captando,0.85,Rouanet,Cultura,True
262729,SV PRODUCOES ASSESSORIA E EVENTOS LTDA,ROBERTO BURLE MARX PELOS AMIGOS,,Exposição Cultural / Artística,30129877000148,Rio de Janeiro,RJ,Sudeste,238238.0,0.0,238238.0,0.0,2026-05-25,2026-05-25,2026-10-30,2026,Captando,0.85,Rouanet,Cultura,True
2515863,MAURO BENEDITO,ITAMONTE EM MEMÓRIAS - 4ª EDIÇÃO,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,***455236**,Itamonte,MG,Sudeste,198009.9004,0.0,198009.9004,0.0,2026-02-01,2026-02-01,2026-10-31,2025,Captando,0.85,Rouanet,Cultura,True
2513297,VALERIA MARCONDES PRODUCAO CULTURAL LTDA,Ouvindo Cinema,,Ações de capacitação e treinamento de pessoa,08359545000109,Brasília,DF,Centro-Oeste,460467.0391,0.0,460467.0391,0.0,2026-02-03,2026-02-03,2026-10-07,2025,Captando,0.85,Rouanet,Cultura,True
2515703,MANSA MUSA  JH LTDA,CIRCUITO HIP HOP NAS COMUNIDADES ,,Empreend Ações Educ-Cult/Capacitação/Treinamento,41922995000125,Carapicuíba,SP,Sudeste,319750.1992,0.0,319750.1992,0.0,2026-03-02,2026-03-02,2026-12-03,2025,Captando,0.85,Rouanet,Cultura,True
260975,CENTRO DE TRADICOES GAUCHAS GUARDIOES DA FRONTEIRA,15° Acampamento Farroupilha de Tenente Portela ,,Apresentação/Gravação de Música Regional,15387839000100,Tenente Portela,RS,Sul,125479.2002,0.0,125479.2002,0.0,2026-09-11,2026-09-11,2026-09-20,2026,Captando,0.85,Rouanet,Cultura,True
264247,R C P GANDRA QUADRINHOS E NARRATIVA,24 Horas de Quadrinhos,,Empreend Ações Educ-Cult/Capacitação/Treinamento,37829253000182,Campos dos Goytacazes,RJ,Sudeste,177249.5996,0.0,177249.5996,0.0,2026-10-09,2026-10-09,2026-10-11,2026,Captando,0.85,Rouanet,Cultura,True
2515522,ASSOCIACAO DE CAPOEIRA JEJE NAGO,Kilombo de todos os corpos,,Capoeira: Apresentação de Dança ou Ação Educativa,05261742000194,São Luís,MA,Nordeste,198764.3071,0.0,198764.3071,0.0,2026-03-09,2026-03-09,2026-11-23,2025,Captando,0.85,Rouanet,Cultura,True
2515116,LORENA DE MORAES FILGUEIRAS,Universo e Cia - RPG de ficção cientifica e exploração espacial ecológica,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,30405248000101,Belém,PA,Norte,387956.25,0.0,387956.25,0.0,2026-01-29,2026-01-29,2026-12-01,2025,Captando,0.85,Rouanet,Cultura,True
262188,RONY PETTYSON FIALHO LIMA,Formação Cultural em Forró Tradicional: Educação Musical e Valorização das Raízes Nordestinas,,Empreend Ações Educ-Cult/Capacitação/Treinamento,***699293**,Aldeias Altas,MA,Nordeste,480507.3906,0.0,480507.3906,0.0,2026-06-01,2026-06-01,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
260949,ASSOCIACAO CULTURAL CENART,"Natal Luz: de nossa gente para o mundo, uma mensagem de paz",,Apresentação ou Performance de Teatro,08179320000162,Barão do Triunfo,RS,Sul,153780.0,0.0,153780.0,0.0,2026-12-12,2026-12-12,2026-12-13,2026,Captando,0.85,Rouanet,Cultura,True
262209,ACADEMIA PARANAENSE DE LETRAS, 4º CONGRESSO BRASILEIRO DAS ACADEMIAS ESTADUAIS,,Event Literá/Ações Edu-Cult Incen Leitu/SlamSarau,81917833000113,Curitiba,PR,Sul,275244.1992,0.0,275244.1992,0.0,2026-09-23,2026-09-23,2026-09-27,2026,Captando,0.85,Rouanet,Cultura,True
262085,NUCLEO CULTURAL DE ESTRELA,Quarteada da Cultura Gaúcha - Edição 2026,,Apresentação/Gravação de Música Regional,92893841000193,Estrela,RS,Sul,118888.0,0.0,118888.0,0.0,2026-05-01,2026-05-01,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
262776,BRENDA TATIANA PLAZAS ONOA,Marajó Criativo: Formação Cultural de Crianças e Adolescentes”,,Empreend Ações Educ-Cult/Capacitação/Treinamento,***093070**,Porto Alegre,RS,Sul,199518.0,0.0,199518.0,0.0,2026-06-01,2026-06-01,2026-11-28,2026,Captando,0.85,Rouanet,Cultura,True
262246,"INSTITUTO DE DESENVOLVIMENTO CULTURAL, ESPORTIVO E SOCIAL","Sao Joao de Caucaia: Tradicao, cultura e identidade",,Apresentação/Gravação Música Popular Cantada,23566886000130,Caucaia,CE,Nordeste,448295.1016,0.0,448295.1016,0.0,2026-05-01,2026-05-01,2026-09-30,2026,Captando,0.85,Rouanet,Cultura,True
262769,MARCIO ROBERTO SARTORIO CARDOSO,Festival Jazz Manouche de Piracicaba,,Apresentação/Gravação de Música Instrumental,***372088**,Piracicaba,SP,Sudeste,195096.0,90000.0,105096.0,46.1,2026-07-20,2026-07-20,2026-09-20,2026,Captando,0.85,Rouanet,Cultura,True
262031,ELIANE MIRANDA MARTINS,GIRASSÓIS - Descentralizando as Artes com Cia Druw,,Apresentação ou Performance de Dança,***121256**,Anchieta,ES,Sudeste,135011.7451,0.0,135011.7451,0.0,2026-03-22,2026-03-22,2026-09-22,2026,Captando,0.85,Rouanet,Cultura,True
261529,"INSTITUTO CULTURAL, IGUALDADE DE BEM ESTAR SOCIAL",TÔ LIMPO,,Apresentação ou Performance de Teatro,48471853000138,Embu-Guaçu,SP,Sudeste,410751.0,0.0,410751.0,0.0,2026-07-01,2026-07-01,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
262264,23.837.547 GUSTAVO LUDIERI DOS SANTOS,Silviolino: Turnê Raízes do Sertanejo,,Apresentação/Gravação de Música Instrumental,23837547000141,Rio Claro,SP,Sudeste,191045.25,0.0,191045.25,0.0,2026-07-07,2026-07-07,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
260920,CONFRARIA DO TROPEIRO LIMITADA,NOS RUMOS DA HISTÓRIA - MULHER BRASILEIRA,,Prod Av Radio/Podcast,16726714000111,Monte Carlo,SC,Sul,135580.5,0.0,135580.5,0.0,2026-03-14,2026-03-14,2026-11-15,2026,Captando,0.85,Rouanet,Cultura,True
262249,Roberto Gomes de Almeida,FESTIVAL FOLCLORICO DE CAMPINA GRANDE- FEFOLK-CG ,,Apresentação ou Performance de Dança,***237424**,Campina Grande,PB,Nordeste,493317.0,0.0,493317.0,0.0,2026-10-09,2026-10-09,2026-10-11,2026,Captando,0.85,Rouanet,Cultura,True
262419,LUIS ANTONIO NASCIMENTO FONSECA,Circuito Literário Portas que se Abrem: Vozes do Cárcere e Consciência Negra,,Livro/Obra Refer impres/eletrôni valor Art/Lit/Hum,***462165**,Salvador,BA,Nordeste,372850.5,0.0,372850.5,0.0,2026-10-05,2026-10-05,2026-11-30,2026,Captando,0.85,Rouanet,Cultura,True
